"Predictor","Unadjusted OR (95% CI)","P-value","Adjusted OR (95% CI)","P-value (adj)"
"Year: 2019 vs 2010","0.46 (0.29–0.71)","<0.001","0.46 (0.27–0.77)","0.003"
"Subspecialty (global LR test; reference: General/Other)","-","0.272","-","0.287"
"  Functional/Peripheral Nerve vs General/Other","1.03 (0.50–2.12)","0.941","1.34 (0.62–2.92)","0.458"
"  Pediatrics vs General/Other","3.29 (1.22–8.90)","0.019","3.87 (1.33–11.29)","0.013"
"  Spine vs General/Other","1.65 (0.80–3.39)","0.174","1.56 (0.72–3.35)","0.256"
"  Trauma/Critical Care vs General/Other","1.35 (0.55–3.33)","0.507","2.03 (0.76–5.39)","0.157"
"  Tumor vs General/Other","1.47 (0.76–2.85)","0.247","1.49 (0.74–3.01)","0.265"
"  Vascular/Stroke vs General/Other","1.31 (0.65–2.62)","0.450","1.48 (0.70–3.14)","0.303"
"Medical student first author: Yes vs No","0.45 (0.29–0.72)","<0.001","0.53 (0.30–0.91)","0.021"
"International senior author: International vs USA","1.47 (0.83–2.61)","0.187","1.46 (0.78–2.71)","0.238"
"Number of authors in abstract (per +1 author)","1.09 (1.02–1.18)","0.016","1.13 (1.04–1.23)","0.003"
"Female first author (abstract): Female vs Male","0.79 (0.48–1.33)","0.378","1.04 (0.59–1.84)","0.889"
"Female senior author (abstract): Female vs Male","1.12 (0.59–2.10)","0.732","1.16 (0.58–2.31)","0.672"
"Award-winning abstract: Yes vs No","1.13 (0.58–2.18)","0.723","0.92 (0.45–1.87)","0.815"
