"Characteristic","Overall published (n=176)","2010 published (n=84)","2019 published (n=92)","P-value (raw)","P-value (Holm)"
"Time to publication (months), median (IQR)","12.0 (7.0–20.0)","14.0 (8.0–22.5)","10.0 (5.0–15.2)","0.011","0.057"
"Journal impact factor, median (IQR)","4.1 (2.5–4.8)","4.1 (3.0–4.8)","4.1 (2.1–4.9)","0.780","0.780"
"Number of authors in final publication, median (IQR)","7.0 (5.0–11.0)","7.0 (4.5–9.0)","9.0 (6.0–13.0)","<0.001","0.005"
"Change in author count (publication - abstract), median (IQR)","1.0 (0.0–3.0)","1.0 (0.0–3.0)","2.0 (0.0–4.0)","0.031","0.124"
"Change in author count category, n (%)","-","-","-","0.138","0.413"
"  Decreased","17 (9.7%)","8 (9.6%)","9 (9.8%)","-","-"
"  Unchanged","45 (25.7%)","27 (32.5%)","18 (19.6%)","-","-"
"  Increased","113 (64.6%)","48 (57.8%)","65 (70.7%)","-","-"
"Female first author (publication), n (%)","29 (16.6%)","10 (12.0%)","19 (20.7%)","0.155","0.413"
"Female senior author (publication), n (%)","32 (18.3%)","8 (9.6%)","24 (26.1%)","0.006","0.035"
